,query_hash,query_type,bytes_scanned,result_size,write_volume,cpu_time,unique_db_instance,num_read_tables,intermediate_result_size,hour,read_tables,write_table,timestamp,scan_to_result_ratio,scan_to_i_result_ratio,repetition_coefficient,load,cache_result,cache_ir,write_delta,was_cached,cache_writes,cache_reads,execution,execution_trigger,triggered_by,network_speed,total_runtime,runtime,size
211,6f352765e37eef4c11e19ae27eaa75b7,insert,28083858935,0.0,365452,0.03318263924946428,0,1,0.0,2,9A,5A,2024-04-14 13:31:59,0.0,0.0,0.0,0.39,False,False,False,False,0,1,normal,immediate,6f352765e37eef4c11e19ae27eaa75b7,17179869184.0,1.6527301293578092,1.652737355957166,
559,1ed2f86dd58e1a90cee2f686d3d9d3d6,insert,895425057,0.0,589899,0.005412005292261248,0,1,0.0,2,4A,5A,2024-04-14 13:32:23,0.0,0.0,0.0031023784901758012,0.34,False,False,False,False,0,1,normal,immediate,1ed2f86dd58e1a90cee2f686d3d9d3d6,17179869184.0,0.05660995209722757,0.05663675735156324,
959,2c800f141d10828469c2dadd59def9c8,select,0,221.0,0,0.0,0,2,6630.0,2,"6A,9A",,2024-04-14 13:32:29,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.0,False,False,False,True,0,1,incremental,immediate,2c800f141d10828469c2dadd59def9c8,1250000000.0,0.0017953234222560452,0.001409691740973377,
318,98d9b7691c60814828b260614e3af165,insert,360785886,0.0,362639,0.004489251026567206,0,1,0.0,2,3A,5A,2024-04-14 13:33:23,0.0,0.0,0.0,0.21,False,False,False,False,0,1,normal,immediate,98d9b7691c60814828b260614e3af165,17179869184.0,0.024628133634743164,0.025227123601178916,
107,659d8e5909ccdf4b948a770f6e440822,insert,25603739277,0.0,509794,0.02904275211055621,0,1,0.0,2,4A,5A,2024-04-14 13:33:24,0.0,0.0,0.0062047569803516025,0.46,False,False,False,False,0,1,normal,immediate,659d8e5909ccdf4b948a770f6e440822,17179869184.0,1.505966579867888,1.5060332842375819,
674,f9b552b686ea9b59d82550022d0a2555,select,3481303653,19425.0,0,0.005291334929592563,0,1,388500.0,2,6A,,2024-04-14 13:33:59,5.579806284137433e-06,0.00011159612568274865,0.0,0.03,False,False,False,False,0,0,normal,immediate,f9b552b686ea9b59d82550022d0a2555,17179869184.0,0.20528421003543568,0.20528421003543568,407925.0
494,535adf7db93dde3550bf8e760fcb2450,insert,25216673483,0.0,128331,0.026701366916724416,0,2,0.0,2,"4A,9A",5A,2024-04-14 13:34:33,0.0,0.0,0.0,0.24,False,False,False,False,0,1,normal,immediate,535adf7db93dde3550bf8e760fcb2450,17179869184.0,1.482841415896843,1.4826809253328557,
76,1ab1a5886996556d5489cec8ca89ce50,select,5393205213,1069.0,0,0.006437162215039687,0,1,21380.0,2,8A,,2024-04-14 13:35:26,1.9821237237983067e-07,3.9642474475966135e-06,0.002068252326783868,0.04,True,True,False,False,1,0,normal,immediate,1ab1a5886996556d5489cec8ca89ce50,17179869184.0,0.31886983877314906,0.3188110137942816,22449.0
91,646f00ddee902c63ea0d4466abfa9e99,insert,63235116720,0.0,550255,0.0657562103411261,0,1,0.0,2,4A,7A,2024-04-14 13:35:39,0.0,0.0,0.0031023784901758012,0.72,False,False,False,False,0,1,normal,immediate,646f00ddee902c63ea0d4466abfa9e99,17179869184.0,3.7151419165909294,3.7148255156300283,
140,7c54997fc0bce0f9fbce1a5d60849000,insert,26047119245,0.0,267491,0.030028173403303472,0,1,0.0,2,6A,7A,2024-04-14 13:36:27,0.0,0.0,0.001034126163391934,0.32,False,False,False,False,0,1,normal,immediate,7c54997fc0bce0f9fbce1a5d60849000,17179869184.0,1.5325063225258355,1.5326298175536117,
938,50509c02c53a5838ccea92abc3b66a20,insert,1010958296,0.0,218629,0.0022839050710261126,0,1,0.0,2,1A,5A,2024-04-14 13:36:42,0.0,0.0,0.0,0.13,False,False,False,False,0,1,normal,immediate,50509c02c53a5838ccea92abc3b66a20,17179869184.0,0.06136198329157678,0.061253548624692095,
498,40849cd78a416f335c34fc08f09293e8,insert,410264418,0.0,328283,0.009662749322782889,0,1,0.0,2,6A,5A,2024-04-14 13:38:24,0.0,0.0,0.002068252326783868,0.2,False,False,False,False,0,1,normal,immediate,40849cd78a416f335c34fc08f09293e8,17179869184.0,0.03001696105236378,0.0302159179472855,
313,d4a63ff6699ef8da27832b6fedb9cd33,insert,21657655754,0.0,547141,0.025022269773005614,0,2,0.0,2,"0A,8A",7A,2024-04-14 13:38:55,0.0,0.0,0.0031023784901758012,0.45,False,False,False,False,0,1,normal,immediate,d4a63ff6699ef8da27832b6fedb9cd33,17179869184.0,1.2743021185536159,1.2743918209074607,
770,5a8d9bb6fa943cb3e4a2a40fc1415f59,insert,244513865,0.0,1071955,0.0017714233692110626,0,1,0.0,2,2A,2A,2024-04-14 13:39:13,0.0,0.0,0.001034126163391934,0.6,False,False,False,False,1,1,normal,immediate,5a8d9bb6fa943cb3e4a2a40fc1415f59,17179869184.0,0.01902934822957292,0.017202605368008078,
ec03a575bc1856b2487941f530574be5,,select,1071955,45.01383363919196,0,0.00781219322087749,0,1,900.2766727838391,2,2A,,2024-04-14 13:39:13,4.1992279190070436e-05,0.0008398455838014088,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,5a8d9bb6fa943cb3e4a2a40fc1415f59,1250000000.0,0.004764416842843884,0.004764416842843884,2252954.0
2c800f141d10828469c2dadd59def9c8,,select,1071955,0.06652183417451069,0,0.008397116297353818,0,2,1.9956550252353205,2,"3A,2A",,2024-04-14 13:39:13,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.01,True,True,False,False,0,0,incremental,triggered_by_write,5a8d9bb6fa943cb3e4a2a40fc1415f59,1250000000.0,0.0050561237984183965,0.0050561237984183965,6851.0
576,0ebcb315a760f629b481d5c0a4e900a0,insert,1645715498,0.0,187282,0.003624508912174253,0,1,0.0,2,0A,7A,2024-04-14 13:39:48,0.0,0.0,0.0031023784901758012,0.12,False,False,False,False,0,1,normal,immediate,0ebcb315a760f629b481d5c0a4e900a0,17179869184.0,0.09907799296971129,0.09905982885212475,
842,cba73aef645fdf397d74d428e9300fb7,insert,4001062940,0.0,250755,0.014405435653717937,0,2,0.0,2,"2A,3A",3A,2024-04-14 13:39:57,0.0,0.0,0.001034126163391934,0.18,False,False,False,False,1,1,normal,immediate,cba73aef645fdf397d74d428e9300fb7,17179869184.0,0.24320746277309233,0.24391714124975028,
2c800f141d10828469c2dadd59def9c8,,select,250755,0.015560991392763153,0,0.008397116297353818,0,2,0.4668297417828946,2,"3A,2A",,2024-04-14 13:39:57,6.205655477563021e-08,1.8616966432689064e-06,0.0031023784901758012,0.01,True,True,False,False,0,0,incremental,triggered_by_write,cba73aef645fdf397d74d428e9300fb7,1250000000.0,0.004399162534589496,0.004399162534589496,6851.0
e7a4920641dfd8dabd3cc8fa2e13c876,,select,250755,96.86335186179933,0,0.004705739582711503,0,1,1937.2670372359867,2,3A,,2024-04-14 13:39:57,0.00038628682124703127,0.007725736424940626,0.002068252326783868,0.01,True,True,False,False,0,0,incremental,triggered_by_write,cba73aef645fdf397d74d428e9300fb7,1250000000.0,0.0025551010956670296,0.0025551010956670296,15025353.0
592,40849cd78a416f335c34fc08f09293e8,insert,411683621,0.0,328283,0.009662749322782889,0,1,0.0,2,2A,7A,2024-04-14 13:40:10,0.0,0.0,0.002068252326783868,0.2,False,False,False,False,0,1,normal,immediate,40849cd78a416f335c34fc08f09293e8,17179869184.0,0.03025314573616991,0.03065078863521388,
620,feb7d35f525df753060a39a92b1d9eab,insert,9561249115,0.0,488298,0.012104780396703155,0,1,0.0,2,1A,5A,2024-04-14 13:40:43,0.0,0.0,0.0031023784901758012,0.34,False,False,False,False,0,1,normal,immediate,feb7d35f525df753060a39a92b1d9eab,17179869184.0,0.5641980119436255,0.5643286973051009,
838,4df8ed4611bc480d69c34e546c933db4,insert,6999816982,0.0,551326,0.008880551615875767,0,2,0.0,2,"0A,2A",7A,2024-04-14 13:40:45,0.0,0.0,0.002068252326783868,0.36,False,False,False,False,0,1,normal,immediate,4df8ed4611bc480d69c34e546c933db4,17179869184.0,0.41307133857946465,0.41312682194350336,
879,93af8607971f359c101591653cda3c9c,insert,39778408267,0.0,319309,0.04189272487729236,0,1,0.0,2,6A,5A,2024-04-14 13:40:49,0.0,0.0,0.0,0.44,False,False,False,False,0,1,normal,immediate,93af8607971f359c101591653cda3c9c,17179869184.0,2.3375159607674436,2.3374038937664463,
996,d3c8ebdf7726a9c36689efbaedfcbe5f,insert,2870892129,0.0,118753,0.004246630961940328,0,1,0.0,2,3A,7A,2024-04-14 13:41:00,0.0,0.0,0.001034126163391934,0.09,False,False,False,False,0,1,normal,immediate,d3c8ebdf7726a9c36689efbaedfcbe5f,17179869184.0,0.17114873728449947,0.17116342126554704,
808,a1198d957df20e2fc422b91ade00bd92,insert,8906978030,0.0,448671,0.018079790984822614,0,1,0.0,2,3A,7A,2024-04-14 13:41:06,0.0,0.0,0.001034126163391934,0.32,False,False,False,False,0,1,normal,immediate,a1198d957df20e2fc422b91ade00bd92,17179869184.0,0.5293614560800418,0.5286340594492852,
714,b23c2690a2af9c09ea746e3cb1525d7a,insert,74525039022,0.0,326522,0.0772501317025532,0,1,0.0,2,1A,7A,2024-04-14 13:41:47,0.0,0.0,0.001034126163391934,0.67,False,False,False,False,0,1,normal,immediate,b23c2690a2af9c09ea746e3cb1525d7a,17179869184.0,4.378542101353989,4.378491490854361,
883,ec71d705f525981d9c2e5fc65cf48881,insert,1223872174,0.0,432344,0.003642963813254943,0,1,0.0,2,6A,5A,2024-04-14 13:41:47,0.0,0.0,0.0031023784901758012,0.25,False,False,False,False,0,1,normal,immediate,ec71d705f525981d9c2e5fc65cf48881,17179869184.0,0.07486558378116473,0.07428290178712452,
975,cfdffaa27b6575e5e25fcb4be93761ae,insert,20476713944,0.0,408911,0.024107826617042877,0,1,0.0,2,9A,5A,2024-04-14 13:42:18,0.0,0.0,0.002068252326783868,0.37,False,False,False,False,0,1,normal,immediate,cfdffaa27b6575e5e25fcb4be93761ae,17179869184.0,1.2056566621976121,1.2058110815205183,
108,4a965ae4c2711bb3bf0a96f44b5e3996,insert,8114571765,0.0,311060,0.012723392154643314,0,1,0.0,2,9A,7A,2024-04-14 13:43:32,0.0,0.0,0.001034126163391934,0.23,False,False,False,False,0,1,normal,immediate,4a965ae4c2711bb3bf0a96f44b5e3996,17179869184.0,0.48056347168873803,0.48000980679840644,
410,d9701a4d9d60ef35d01810b3aeaaa616,select,4072273687,2309.0,0,0.006768861351623225,0,1,46184.0,2,9A,,2024-04-14 13:44:17,5.670725987876956e-07,1.1341451975753912e-05,0.002068252326783868,0.03,True,True,False,False,1,0,normal,immediate,d9701a4d9d60ef35d01810b3aeaaa616,17179869184.0,0.24240049353527582,0.24232843399527465,48493.0
295,5376265a8777fbe0ac39fa8482cbcdba,select,733450869,389.0,0,0.0026064059469395524,0,2,11692.0,2,"6A,2A",,2024-04-14 13:44:23,5.313977769917948e-07,1.5941933309753844e-05,0.002068252326783868,0.01,True,True,False,False,1,0,normal,immediate,5376265a8777fbe0ac39fa8482cbcdba,17179869184.0,0.045044087117795985,0.045655865690838154,12081.0
980,c1ef93cdde551f8a3fa133ddf03fb263,insert,2504935480,0.0,490640,0.008574324472070585,0,1,0.0,2,4A,3A,2024-04-14 13:48:11,0.0,0.0,0.0,0.3,False,False,False,False,1,1,normal,immediate,c1ef93cdde551f8a3fa133ddf03fb263,17179869184.0,0.15359582354564597,0.15261533108399683,
